State,Year,Number of secondary schools
Johor,2001,186
Johor,2002,198
Johor,2003,210
Johor,2004,232
Johor,2005,235
Johor,2006,236
Johor,2007,237
Johor,2008,240
Johor,2009,243
Johor,2010,242
Johor,2011,247
Johor,2012,250
Johor,2013,271
Johor,2014,273
Johor,2015,274
Johor,2016,274
Johor,2017,277
Johor,2018,280
Johor,2019,282
Johor,2020,283
Kedah,2001,146
Kedah,2002,149
Kedah,2003,153
Kedah,2004,155
Kedah,2005,158
Kedah,2006,159
Kedah,2007,159
Kedah,2008,173
Kedah,2009,174
Kedah,2010,177
Kedah,2011,178
Kedah,2012,181
Kedah,2013,182
Kedah,2014,190
Kedah,2015,200
Kedah,2016,202
Kedah,2017,201
Kedah,2018,201
Kedah,2019,202
Kedah,2020,202
Kelantan,2001,118
Kelantan,2002,125
Kelantan,2003,126
Kelantan,2004,127
Kelantan,2005,131
Kelantan,2006,132
Kelantan,2007,132
Kelantan,2008,133
Kelantan,2009,155
Kelantan,2010,160
Kelantan,2011,164
Kelantan,2012,171
Kelantan,2013,173
Kelantan,2014,173
Kelantan,2015,174
Kelantan,2016,174
Kelantan,2017,175
Kelantan,2018,177
Kelantan,2019,177
Kelantan,2020,177
Melaka,2001,62
Melaka,2002,64
Melaka,2003,64
Melaka,2004,66
Melaka,2005,66
Melaka,2006,66
Melaka,2007,66
Melaka,2008,73
Melaka,2009,74
Melaka,2010,75
Melaka,2011,76
Melaka,2012,77
Melaka,2013,77
Melaka,2014,77
Melaka,2015,77
Melaka,2016,77
Melaka,2017,77
Melaka,2018,77
Melaka,2019,77
Melaka,2020,77
Negeri Sembilan,2001,89
Negeri Sembilan,2002,91
Negeri Sembilan,2003,93
Negeri Sembilan,2004,98
Negeri Sembilan,2005,98
Negeri Sembilan,2006,98
Negeri Sembilan,2007,101
Negeri Sembilan,2008,116
Negeri Sembilan,2009,116
Negeri Sembilan,2010,117
Negeri Sembilan,2011,117
Negeri Sembilan,2012,117
Negeri Sembilan,2013,119
Negeri Sembilan,2014,121
Negeri Sembilan,2015,124
Negeri Sembilan,2016,125
Negeri Sembilan,2017,125
Negeri Sembilan,2018,125
Negeri Sembilan,2019,125
Negeri Sembilan,2020,125
Pahang,2001,138
Pahang,2002,153
Pahang,2003,161
Pahang,2004,166
Pahang,2005,171
Pahang,2006,174
Pahang,2007,175
Pahang,2008,180
Pahang,2009,181
Pahang,2010,187
Pahang,2011,189
Pahang,2012,192
Pahang,2013,194
Pahang,2014,194
Pahang,2015,194
Pahang,2016,195
Pahang,2017,196
Pahang,2018,197
Pahang,2019,198
Pahang,2020,198
Perak,2001,191
Perak,2002,204
Perak,2003,210
Perak,2004,213
Perak,2005,213
Perak,2006,213
Perak,2007,213
Perak,2008,236
Perak,2009,237
Perak,2010,240
Perak,2011,241
Perak,2012,243
Perak,2013,242
Perak,2014,245
Perak,2015,246
Perak,2016,247
Perak,2017,248
Perak,2018,250
Perak,2019,128
Perak,2020,250
Perlis,2001,23
Perlis,2002,24
Perlis,2003,24
Perlis,2004,24
Perlis,2005,24
Perlis,2006,24
Perlis,2007,24
Perlis,2008,26
Perlis,2009,26
Perlis,2010,27
Perlis,2011,27
Perlis,2012,27
Perlis,2013,29
Perlis,2014,30
Perlis,2015,30
Perlis,2016,30
Perlis,2017,30
Perlis,2018,30
Perlis,2019,30
Perlis,2020,30
Pulau Pinang,2001,86
Pulau Pinang,2002,95
