Year,Education expenditure,Poverty rate,Unemployment rate
1992,0.43,12.4,3.7
1993,0.51,11.3,3.5
1994,0.62,9.3,3.23
1995,0.83,8.7,3.1
1996,0.94,7.5,2.8
1997,1.28,6.1,2.4
1998,1.39,6.7,2.85
1999,1.57,7.5,3.4
2000,1.78,7.3,3.49
2001,2.39,6.5,3.42
2002,2.81,5.1,3.5
2003,3.52,5.4,3.5
2004,4.21,5.7,3.5
2005,4.65,4.35,3.4
2006,4.98,4,3.3
2007,5.42,3.6,3.2
2008,5.65,3.65,3.55
2009,5.71,3.8,3.7
2010,6.5,2.3,3.4
2011,7.32,1.95,3.15
2012,9.1,1.7,3
2013,9.37,1.2,2.8
2014,9.56,0.6,2.73
2015,10.41,0.5,3
2016,11.95,0.4,3.2
2017,12.88,0.5,3.3
2018,14.42,0.45,3.3
2019,15.31,5.6,3.3
2020,15.95,8.4,4.5
2021,15.2,7.5,4
