State,Year,Number of secondary schools,Population,Normalised number of secondary schools
Johor,2001,186,2829.9,65.72670412
Johor,2002,198,2893.6,68.4268731
Johor,2003,210,2954,71.09004739
Johor,2004,232,3014.6,76.9588005
Johor,2005,235,3074.4,76.4376789
Johor,2006,236,3134.4,75.2935171
Johor,2007,237,3193.5,74.21324566
Johor,2008,240,3252.3,73.79393045
Johor,2009,243,3309.4,73.42720735
Johor,2010,242,3362.9,71.96169972
Johor,2011,247,3410.5,72.42339833
Johor,2012,250,3450.4,72.45536749
Johor,2013,271,3474.4,77.99907898
Johor,2014,273,3559.8,76.68970167
Johor,2015,274,3610.3,75.89397003
Johor,2016,274,3651.8,75.03149132
Johor,2017,277,3697,74.92561536
Johor,2018,280,3749.4,74.67861525
Johor,2019,282,3761.2,74.97607147
Johor,2020,283,4009.7,70.5788463
Johor,2021,283,4020,70.39800995
Kedah,2001,146,1703.9,85.68577968
Kedah,2002,149,1734.8,85.88886327
Kedah,2003,153,1763.7,86.74944718
Kedah,2004,155,1792.4,86.47623298
Kedah,2005,158,1820.3,86.79887931
Kedah,2006,159,1847.5,86.06224628
Kedah,2007,159,1874.2,84.83619678
Kedah,2008,173,1900.2,91.0430481
Kedah,2009,174,1925.3,90.37552589
Kedah,2010,177,1949.3,90.8018263
Kedah,2011,178,1971.8,90.27284714
Kedah,2012,181,2001.1,90.45025236
Kedah,2013,182,2039.8,89.22443377
Kedah,2014,190,2062.7,92.11228002
Kedah,2015,200,2096.5,95.39709039
Kedah,2016,202,2119.7,95.29650422
Kedah,2017,201,2143.9,93.75437287
Kedah,2018,201,2163,92.92649098
Kedah,2019,202,2173.7,92.92910705
Kedah,2020,202,2131.4,94.77338838
Kedah,2021,202,2151.7,93.87925826
Kelantan,2001,118,1390,84.89208633
Kelantan,2002,125,1416.7,88.23321804
Kelantan,2003,126,1440.5,87.4696286
Kelantan,2004,127,1463.8,86.76048641
Kelantan,2005,131,1486.3,88.13833008
Kelantan,2006,132,1507.6,87.556381
Kelantan,2007,132,1529.1,86.32528939
Kelantan,2008,133,1549.8,85.81752484
Kelantan,2009,155,1570,98.72611465
